round,case,mode,median_ns,report_sha256,report_path,log_path
3,readNumericDocument,native,1172048.000000,00d785eda6685d9a0ab44166915406da324dcfef24fb8cb5f95762e2677657e1,raw/run-03/readNumericDocument-native,logs/run-03-readNumericDocument-native.log
3,writeEscapedStrings,pure,1556224.000000,5df0a3ff18fabfc1121db84e0b26d8cfaccc83f3a80f0136542314eb7b9fb848,raw/run-03/writeEscapedStrings-pure,logs/run-03-writeEscapedStrings-pure.log
3,writeEscapedStrings,native,1672140.518681,6eb84c36e6c04acc55f34a9bb8b7618b03f778a2ab4e26bd895f5ea5ba075dec,raw/run-03/writeEscapedStrings-native,logs/run-03-writeEscapedStrings-native.log
3,writeEscapedBytes,pure,1451874.773333,1480ed54ec5e93a931482257d57ceea3100f54b116e9bf9bc8af0204b49d969b,raw/run-03/writeEscapedBytes-pure,logs/run-03-writeEscapedBytes-pure.log
3,writeEscapedBytes,native,1366144.000000,9ae45f3bd00a740a2fe586751763ec910b20da7d287611d2106b1d534146499a,raw/run-03/writeEscapedBytes-native,logs/run-03-writeEscapedBytes-native.log
3,writePlainStrings,pure,1289593.600000,4931ccc35ab0f2e4578cc4f4347e75c66a8df303681e57f8d2f41c82e6e6ac2c,raw/run-03/writePlainStrings-pure,logs/run-03-writePlainStrings-pure.log
3,writePlainStrings,native,1363744.820513,2493329206614ff79a65b01e48344f8ba97b799d2823d1639a665e46e1f687f8,raw/run-03/writePlainStrings-native,logs/run-03-writePlainStrings-native.log
3,writeNumericArray,pure,7023488.000000,e449e621f58ef6d198125b03a2a45400ef582bb03e6fdeb162ce5d78fb77b951,raw/run-03/writeNumericArray-pure,logs/run-03-writeNumericArray-pure.log
3,writeNumericArray,native,7349632.000000,5552060e20846361d95ae8f0a622f39672247461be0339deb266325555479c4a,raw/run-03/writeNumericArray-native,logs/run-03-writeNumericArray-native.log
3,writeNumericBytes,pure,2353387.463736,ad15fb630028c894792488bc8a0ab5c6650e2b9a80b77854b150b8e19addd4a9,raw/run-03/writeNumericBytes-pure,logs/run-03-writeNumericBytes-pure.log
3,writeNumericBytes,native,598138.899248,06d316d91671fcc5acfc5a76af30d4892bd25a23c814633426bea51d52ea73ce,raw/run-03/writeNumericBytes-native,logs/run-03-writeNumericBytes-native.log
4,readNumericArray,native,2708556.800000,fe2eab3634ee1da30f316746c307c4d0d9709ba706daed8ea7e18aa2ad798075,raw/run-04/readNumericArray-native,logs/run-04-readNumericArray-native.log
4,readNumericArray,pure,2586558.358974,a68a757fce09b99efecae2b999eb8a41e74e08ed2168c102dcb51e878b561a91,raw/run-04/readNumericArray-pure,logs/run-04-readNumericArray-pure.log
4,writeNumericBytes,native,554625.896296,a71139956f7f2d77537cf8ebcc2fa738a066c287ab9bb66fb06ba6c9f6792bf3,raw/run-04/writeNumericBytes-native,logs/run-04-writeNumericBytes-native.log
4,writeNumericBytes,pure,2327554.388674,580b5ef7eb767436b6e3e8ec141fd1be8bb3d81e3c62ff5cf96c70d641245fd0,raw/run-04/writeNumericBytes-pure,logs/run-04-writeNumericBytes-pure.log
4,writeNumericArray,native,7157335.111111,e1c3c76ec5e2150fe9d88fe3eee55a434f8f04a4414c1b357cbeb4be25101d3b,raw/run-04/writeNumericArray-native,logs/run-04-writeNumericArray-native.log
4,writeNumericArray,pure,7174893.511111,c40f47856ebf1cfb61418fab11afda97221401d8a8dffca81ca9693c807c2bcd,raw/run-04/writeNumericArray-pure,logs/run-04-writeNumericArray-pure.log
4,writePlainStrings,native,1292117.333333,207cfb60e9b463bca57f89f95a2db5683063a137dfa1eeaf4e805e3224e77970,raw/run-04/writePlainStrings-native,logs/run-04-writePlainStrings-native.log
4,writePlainStrings,pure,1246911.296703,77d5f449f69ec52e70de461696e788bfc2dd37977b470c0fde9481e3dc46c600,raw/run-04/writePlainStrings-pure,logs/run-04-writePlainStrings-pure.log
4,writeEscapedBytes,native,1374464.000000,8176c3d036e2f5c93c2d2f659d9a688ed6c3a438e756cfedcfa88f262a45995f,raw/run-04/writeEscapedBytes-native,logs/run-04-writeEscapedBytes-native.log
4,writeEscapedBytes,pure,1363328.000000,12b5a8af42ca6f73af263eaca24b2daaa522be67fa6c03cc5035f47fc6b4e40f,raw/run-04/writeEscapedBytes-pure,logs/run-04-writeEscapedBytes-pure.log
4,writeEscapedStrings,native,1554319.780822,cdf05e4baa125817f3fffd2401e53dc2e32f8485c49e2f2ae3b74a211f5a2f91,raw/run-04/writeEscapedStrings-native,logs/run-04-writeEscapedStrings-native.log
4,writeEscapedStrings,pure,1649328.038137,54bdf2e373860033316d502676f0563fd5631517d731b2601445280bf936867b,raw/run-04/writeEscapedStrings-pure,logs/run-04-writeEscapedStrings-pure.log
4,readNumericDocument,native,1283883.209697,1fe40fe779821702bee462a820461135606502c4e8753288ec3800c965da9556,raw/run-04/readNumericDocument-native,logs/run-04-readNumericDocument-native.log
4,readNumericDocument,pure,2141424.100629,5493ae4a69074606cdd7af7be53c4d545a94a15849388b2160b3a651390b7890,raw/run-04/readNumericDocument-pure,logs/run-04-readNumericDocument-pure.log
5,writeEscapedStrings,pure,1598842.880000,ddc445731892c4ea27389737c0190817267d253e3783e38e87c346e363e71240,raw/run-05/writeEscapedStrings-pure,logs/run-05-writeEscapedStrings-pure.log
5,writeEscapedStrings,native,1550110.647887,a922ea3f7f32ba3317ca3112eb8d759fcd28259ef8c5c996945ef0c7116491bf,raw/run-05/writeEscapedStrings-native,logs/run-05-writeEscapedStrings-native.log
5,writeEscapedBytes,pure,1387283.525424,d2c204fa0bbd0bc542eeacceb8c9423dae454c5b5f21d446a46fe598191c623f,raw/run-05/writeEscapedBytes-pure,logs/run-05-writeEscapedBytes-pure.log
5,writeEscapedBytes,native,1516638.524374,cdeb8afeda91f673e034f0d8cd2b2e29026c237473594336c1d36acbaa1c7cf6,raw/run-05/writeEscapedBytes-native,logs/run-05-writeEscapedBytes-native.log
5,writePlainStrings,pure,1242660.072727,dd08d0dd189e8f5766041d45e56415efa51a2b1b8e1288c8d6af91014c7e699e,raw/run-05/writePlainStrings-pure,logs/run-05-writePlainStrings-pure.log
5,writePlainStrings,native,1278144.000000,758c1eea2c561aeb445165084329b5fbf4b1993b1f687918fb86a6a14055e901,raw/run-05/writePlainStrings-native,logs/run-05-writePlainStrings-native.log
5,writeNumericArray,pure,6672586.105263,a8fb748cc0ffd6af98b4164e4147032615ada015d6d682e44b74694ae93f34fd,raw/run-05/writeNumericArray-pure,logs/run-05-writeNumericArray-pure.log
5,writeNumericArray,native,7026346.666667,efbff8123599716a2a4a64c9ef30f4d5799410304991429ff29fa72b507df462,raw/run-05/writeNumericArray-native,logs/run-05-writeNumericArray-native.log
5,writeNumericBytes,pure,2358129.047378,6a63ec35af8717c68f23125cbdc403703cc5f927c26f85cadb8a74f3ff89b6d2,raw/run-05/writeNumericBytes-pure,logs/run-05-writeNumericBytes-pure.log
5,writeNumericBytes,native,559537.230769,24d64fdb4dba1bcd03685dec731e61283f49bb8fa2c8f9467eb87c884fec62a6,raw/run-05/writeNumericBytes-native,logs/run-05-writeNumericBytes-native.log
5,readNumericArray,pure,2719872.000000,823d3f22c4af1067fb8a3b2195ceaaaddf5470b69654819e5e10e46964e69fcf,raw/run-05/readNumericArray-pure,logs/run-05-readNumericArray-pure.log
5,readNumericArray,native,2773688.565657,de581ae9572ee364e0aaae8fa9ec0bc50ebf9970a103e6edfa748102b8d965f5,raw/run-05/readNumericArray-native,logs/run-05-readNumericArray-native.log
5,readNumericDocument,pure,2215970.461538,fe634c065e02b8ad957a03c8ac3c88e51057dc2273a014f8e1573212c62a1a25,raw/run-05/readNumericDocument-pure,logs/run-05-readNumericDocument-pure.log
