round,case,mode,median_ns,report_sha256,report_path,log_path
10,readNumericDocument,pure,2148214.153846,ba4a84452ef3747c85080f72c872ba790ccf8d7a36c62af44c3dfac36014abd5,raw/run-10/readNumericDocument-pure,logs/run-10-readNumericDocument-pure.log
10,readNumericArray,native,2785467.733333,3adc68d63d5ece6c1b3608fe4ce6f6943c2194d79b3e94c9f692f93f9795bd0f,raw/run-10/readNumericArray-native,logs/run-10-readNumericArray-native.log
10,readNumericArray,pure,2746267.393939,c1bae978c0513a81c898edae58e54167e748eacac6c3b0b9a939553e840d3715,raw/run-10/readNumericArray-pure,logs/run-10-readNumericArray-pure.log
11,readNumericDocument,pure,2148717.714286,444cb41b30b57989dcdc56a97d290a1442913e05b5b17b9ce2b1bc2ab66c13d1,raw/run-11/readNumericDocument-pure,logs/run-11-readNumericDocument-pure.log
11,readNumericDocument,native,1227231.310276,41fde0990e1782f8cf85231ffb350df4e2f94ea5360a7d6dba28df04e3a813cd,raw/run-11/readNumericDocument-native,logs/run-11-readNumericDocument-native.log
11,writeEscapedStrings,pure,1619404.800000,48cdb364f9f8e909d0637c5d880371a792b98aa84e2fec5e59b169b7857e47cf,raw/run-11/writeEscapedStrings-pure,logs/run-11-writeEscapedStrings-pure.log
11,writeEscapedStrings,native,1572289.042534,1406bb4656220bfdfd4e9713f487e8ca5430b9c60b698d8c115d6f8a7c49e2bf,raw/run-11/writeEscapedStrings-native,logs/run-11-writeEscapedStrings-native.log
11,writeEscapedBytes,pure,1375744.000000,7dbe5d0c0e8d2c81af29ea4bc8fa6770d9bb99d37eb1ce6f09903285f051d9c8,raw/run-11/writeEscapedBytes-pure,logs/run-11-writeEscapedBytes-pure.log
11,writeEscapedBytes,native,1443937.739487,0e74bf837eb6ec88a985379f4bf1ce7db60c9f97bcf85a8422c87a36a057dde5,raw/run-11/writeEscapedBytes-native,logs/run-11-writeEscapedBytes-native.log
11,writePlainStrings,pure,1287936.000000,d6fda06979fb1289b6c17a243c22e4a5bf72829dee8a76c7b0e19ad28399f2bb,raw/run-11/writePlainStrings-pure,logs/run-11-writePlainStrings-pure.log
11,writePlainStrings,native,1327327.255814,a39d0c0093debdc092344e05b4d1cad63dd854f5fd7972d56b6e74f428f4de82,raw/run-11/writePlainStrings-native,logs/run-11-writePlainStrings-native.log
11,writeNumericArray,pure,7303320.000000,e837312f11f76c7d93ada3bea5f4a9c02b7d426ffbe57b0ae7b886bd2f1486d5,raw/run-11/writeNumericArray-pure,logs/run-11-writeNumericArray-pure.log
11,writeNumericArray,native,6974378.666667,5faaeadca9906c61c7dadf288af15171592f8d90e57e7ff67964f5073635917b,raw/run-11/writeNumericArray-native,logs/run-11-writeNumericArray-native.log
11,writeNumericBytes,pure,2346337.902703,e32f77ef378570bbab8729c479dd6a66da73bf282f48d00b9ee91807d5935201,raw/run-11/writeNumericBytes-pure,logs/run-11-writeNumericBytes-pure.log
11,writeNumericBytes,native,605941.218948,67d3cfdb85f0b7da4c4bd48773fd4d45ce7203fe57eaac321fca92986ba0bb6e,raw/run-11/writeNumericBytes-native,logs/run-11-writeNumericBytes-native.log
11,readNumericArray,pure,2833944.975610,398a06cf515ac8c2012727b4517cd8799617b40288959cac4dc06c0bdba4ec1b,raw/run-11/readNumericArray-pure,logs/run-11-readNumericArray-pure.log
11,readNumericArray,native,2675908.923077,8865ff0982c9dfd71b6a396a63d46a693dc9974337e6b38d12fb347b630872d8,raw/run-11/readNumericArray-native,logs/run-11-readNumericArray-native.log
