round,workload_position,library_position,library,workload,scenario,operation,payload,input_kind,source_case,elapsed_seconds,load1_before,load1_after,report_path,log_path
1,9,2,stdx_json,基础对象 | encode | Person | bytes,基础对象,encode,Person,bytes,stdxBytesEncodePerson,2.473354,7.913,7.600,raw/run-01/workload-09-stdx_json,logs/run-01-workload-09-stdx_json.log
1,9,3,cjfast_json,基础对象 | encode | Person | bytes,基础对象,encode,Person,bytes,cjfastBytesEncodePerson,3.023646,7.600,7.712,raw/run-01/workload-09-cjfast_json,logs/run-01-workload-09-cjfast_json.log
1,10,1,yjson,基础对象 | encode | Person | string,基础对象,encode,Person,string,yjsonStringEncodePerson,2.877635,7.712,7.712,raw/run-01/workload-10-yjson,logs/run-01-workload-10-yjson.log
1,10,2,stdx_json,基础对象 | encode | Person | string,基础对象,encode,Person,string,stdxStringEncodePerson,2.052230,7.712,7.655,raw/run-01/workload-10-stdx_json,logs/run-01-workload-10-stdx_json.log
1,10,3,cjfast_json,基础对象 | encode | Person | string,基础对象,encode,Person,string,cjfastStringEncodePerson,2.800859,7.655,7.655,raw/run-01/workload-10-cjfast_json,logs/run-01-workload-10-cjfast_json.log
1,11,1,yjson,"大 Map | decode | HashMap<String, Int64>[64] | string",大 Map,decode,"HashMap<String, Int64>[64]",string,yjsonStringDecodeLargeInt64Map,3.429839,7.655,7.362,raw/run-01/workload-11-yjson,logs/run-01-workload-11-yjson.log
1,11,2,stdx_json,"大 Map | decode | HashMap<String, Int64>[64] | string",大 Map,decode,"HashMap<String, Int64>[64]",string,stdxStringDecodeLargeInt64Map,2.748260,7.362,7.362,raw/run-01/workload-11-stdx_json,logs/run-01-workload-11-stdx_json.log
1,11,3,cjfast_json,"大 Map | decode | HashMap<String, Int64>[64] | string",大 Map,decode,"HashMap<String, Int64>[64]",string,cjfastStringDecodeLargeInt64Map,3.348576,7.362,7.092,raw/run-01/workload-11-cjfast_json,logs/run-01-workload-11-cjfast_json.log
1,12,1,yjson,"大 Map | encode | HashMap<String, Int64>[64] | string",大 Map,encode,"HashMap<String, Int64>[64]",string,yjsonStringEncodeLargeInt64Map,3.396893,7.092,6.844,raw/run-01/workload-12-yjson,logs/run-01-workload-12-yjson.log
1,12,2,stdx_json,"大 Map | encode | HashMap<String, Int64>[64] | string",大 Map,encode,"HashMap<String, Int64>[64]",string,stdxStringEncodeLargeInt64Map,2.135362,6.844,6.844,raw/run-01/workload-12-stdx_json,logs/run-01-workload-12-stdx_json.log
1,12,3,cjfast_json,"大 Map | encode | HashMap<String, Int64>[64] | string",大 Map,encode,"HashMap<String, Int64>[64]",string,cjfastStringEncodeLargeInt64Map,3.113212,6.844,6.696,raw/run-01/workload-12-cjfast_json,logs/run-01-workload-12-cjfast_json.log
1,13,1,yjson,大数组 | decode | ArrayList<ProfileRecord>[64] | string,大数组,decode,ArrayList<ProfileRecord>[64],string,yjsonStringDecodeLargeProfileArray,5.378787,6.696,6.560,raw/run-01/workload-13-yjson,logs/run-01-workload-13-yjson.log
1,13,2,stdx_json,大数组 | decode | ArrayList<ProfileRecord>[64] | string,大数组,decode,ArrayList<ProfileRecord>[64],string,stdxStringDecodeLargeProfileArray,2.514036,6.560,6.560,raw/run-01/workload-13-stdx_json,logs/run-01-workload-13-stdx_json.log
1,13,3,cjfast_json,大数组 | decode | ArrayList<ProfileRecord>[64] | string,大数组,decode,ArrayList<ProfileRecord>[64],string,cjfastStringDecodeLargeProfileArray,2.660424,6.560,6.275,raw/run-01/workload-13-cjfast_json,logs/run-01-workload-13-cjfast_json.log
1,14,1,yjson,大数组 | encode | ArrayList<ProfileRecord>[64] | string,大数组,encode,ArrayList<ProfileRecord>[64],string,yjsonStringEncodeLargeProfileArray,2.745911,6.275,6.275,raw/run-01/workload-14-yjson,logs/run-01-workload-14-yjson.log
1,14,2,stdx_json,大数组 | encode | ArrayList<ProfileRecord>[64] | string,大数组,encode,ArrayList<ProfileRecord>[64],string,stdxStringEncodeLargeProfileArray,2.134394,6.275,6.012,raw/run-01/workload-14-stdx_json,logs/run-01-workload-14-stdx_json.log
1,14,3,cjfast_json,大数组 | encode | ArrayList<ProfileRecord>[64] | string,大数组,encode,ArrayList<ProfileRecord>[64],string,cjfastStringEncodeLargeProfileArray,2.737157,6.012,6.012,raw/run-01/workload-14-cjfast_json,logs/run-01-workload-14-cjfast_json.log
1,15,1,yjson,字段顺序 | decode | Person | string,字段顺序,decode,Person,string,yjsonStringDecodeUnorderedPerson,5.274098,6.012,5.931,raw/run-01/workload-15-yjson,logs/run-01-workload-15-yjson.log
1,15,2,stdx_json,字段顺序 | decode | Person | string,字段顺序,decode,Person,string,stdxStringDecodeUnorderedPerson,2.732756,5.931,5.696,raw/run-01/workload-15-stdx_json,logs/run-01-workload-15-stdx_json.log
1,15,3,cjfast_json,字段顺序 | decode | Person | string,字段顺序,decode,Person,string,cjfastStringDecodeUnorderedPerson,3.397789,5.696,6.121,raw/run-01/workload-15-cjfast_json,logs/run-01-workload-15-cjfast_json.log
1,16,1,yjson,嵌套对象 | decode | ProfileBundle | bytes,嵌套对象,decode,ProfileBundle,bytes,yjsonBytesDecodeProfileBundle,3.488329,6.121,6.121,raw/run-01/workload-16-yjson,logs/run-01-workload-16-yjson.log
1,16,2,stdx_json,嵌套对象 | decode | ProfileBundle | bytes,嵌套对象,decode,ProfileBundle,bytes,stdxBytesDecodeProfileBundle,2.562216,6.121,5.871,raw/run-01/workload-16-stdx_json,logs/run-01-workload-16-stdx_json.log
1,16,3,cjfast_json,嵌套对象 | decode | ProfileBundle | bytes,嵌套对象,decode,ProfileBundle,bytes,cjfastBytesDecodeProfileBundle,3.577051,5.871,6.122,raw/run-01/workload-16-cjfast_json,logs/run-01-workload-16-cjfast_json.log
1,17,1,yjson,嵌套对象 | decode | ProfileBundle | string,嵌套对象,decode,ProfileBundle,string,yjsonStringDecodeProfileBundle,3.472349,6.122,6.122,raw/run-01/workload-17-yjson,logs/run-01-workload-17-yjson.log
1,17,2,stdx_json,嵌套对象 | decode | ProfileBundle | string,嵌套对象,decode,ProfileBundle,string,stdxStringDecodeProfileBundle,2.414073,6.122,5.952,raw/run-01/workload-17-stdx_json,logs/run-01-workload-17-stdx_json.log
1,17,3,cjfast_json,嵌套对象 | decode | ProfileBundle | string,嵌套对象,decode,ProfileBundle,string,cjfastStringDecodeProfileBundle,3.384961,5.952,5.952,raw/run-01/workload-17-cjfast_json,logs/run-01-workload-17-cjfast_json.log
1,18,1,yjson,嵌套对象 | encode | ProfileBundle | bytes,嵌套对象,encode,ProfileBundle,bytes,yjsonBytesEncodeProfileBundle,3.144395,5.952,5.635,raw/run-01/workload-18-yjson,logs/run-01-workload-18-yjson.log
1,18,2,stdx_json,嵌套对象 | encode | ProfileBundle | bytes,嵌套对象,encode,ProfileBundle,bytes,stdxBytesEncodeProfileBundle,2.087433,5.635,5.635,raw/run-01/workload-18-stdx_json,logs/run-01-workload-18-stdx_json.log
1,18,3,cjfast_json,嵌套对象 | encode | ProfileBundle | bytes,嵌套对象,encode,ProfileBundle,bytes,cjfastBytesEncodeProfileBundle,3.058096,5.635,5.423,raw/run-01/workload-18-cjfast_json,logs/run-01-workload-18-cjfast_json.log
1,19,1,yjson,嵌套对象 | encode | ProfileBundle | string,嵌套对象,encode,ProfileBundle,string,yjsonStringEncodeProfileBundle,3.180392,5.423,5.309,raw/run-01/workload-19-yjson,logs/run-01-workload-19-yjson.log
1,19,2,stdx_json,嵌套对象 | encode | ProfileBundle | string,嵌套对象,encode,ProfileBundle,string,stdxStringEncodeProfileBundle,2.126170,5.309,5.309,raw/run-01/workload-19-stdx_json,logs/run-01-workload-19-stdx_json.log
1,19,3,cjfast_json,嵌套对象 | encode | ProfileBundle | string,嵌套对象,encode,ProfileBundle,string,cjfastStringEncodeProfileBundle,3.017545,5.309,5.284,raw/run-01/workload-19-cjfast_json,logs/run-01-workload-19-cjfast_json.log
1,20,1,yjson,数值边界 | decode | UInt64Envelope | bytes,数值边界,decode,UInt64Envelope,bytes,yjsonBytesDecodeUInt64Envelope,3.715688,5.284,5.284,raw/run-01/workload-20-yjson,logs/run-01-workload-20-yjson.log
1,20,2,stdx_json,数值边界 | decode | UInt64Envelope | bytes,数值边界,decode,UInt64Envelope,bytes,stdxBytesDecodeUInt64Envelope,2.781047,5.284,5.181,raw/run-01/workload-20-stdx_json,logs/run-01-workload-20-stdx_json.log
1,20,3,cjfast_json,数值边界 | decode | UInt64Envelope | bytes,数值边界,decode,UInt64Envelope,bytes,cjfastBytesDecodeUInt64Envelope,3.311278,5.181,5.086,raw/run-01/workload-20-cjfast_json,logs/run-01-workload-20-cjfast_json.log
1,21,1,yjson,数值边界 | decode | UInt64Envelope | string,数值边界,decode,UInt64Envelope,string,yjsonStringDecodeUInt64Envelope,3.372345,5.086,5.086,raw/run-01/workload-21-yjson,logs/run-01-workload-21-yjson.log
1,21,2,stdx_json,数值边界 | decode | UInt64Envelope | string,数值边界,decode,UInt64Envelope,string,stdxStringDecodeUInt64Envelope,2.840905,5.086,4.999,raw/run-01/workload-21-stdx_json,logs/run-01-workload-21-stdx_json.log
1,21,3,cjfast_json,数值边界 | decode | UInt64Envelope | string,数值边界,decode,UInt64Envelope,string,cjfastStringDecodeUInt64Envelope,2.940955,4.999,5.240,raw/run-01/workload-21-cjfast_json,logs/run-01-workload-21-cjfast_json.log
1,22,1,yjson,数值边界 | encode | UInt64Envelope | bytes,数值边界,encode,UInt64Envelope,bytes,yjsonBytesEncodeUInt64Envelope,3.282831,5.240,5.240,raw/run-01/workload-22-yjson,logs/run-01-workload-22-yjson.log
1,22,2,stdx_json,数值边界 | encode | UInt64Envelope | bytes,数值边界,encode,UInt64Envelope,bytes,stdxBytesEncodeUInt64Envelope,2.585197,5.240,5.060,raw/run-01/workload-22-stdx_json,logs/run-01-workload-22-stdx_json.log
1,22,3,cjfast_json,数值边界 | encode | UInt64Envelope | bytes,数值边界,encode,UInt64Envelope,bytes,cjfastBytesEncodeUInt64Envelope,2.825638,5.060,5.060,raw/run-01/workload-22-cjfast_json,logs/run-01-workload-22-cjfast_json.log
1,23,1,yjson,数值边界 | encode | UInt64Envelope | string,数值边界,encode,UInt64Envelope,string,yjsonStringEncodeUInt64Envelope,3.307236,5.060,4.895,raw/run-01/workload-23-yjson,logs/run-01-workload-23-yjson.log
